연도코드,시도명,시군구코드,사고위험지역명,사고위험지역id,총사고건수,총사망자수,총중상자수,총경상자수,사고분석유형명,반경내카메라수,반경내과속카메라,반경내신호카메라,카메라효과비율,cluster,군집라벨
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36093,9,0,1,9,기타,0,0,0,0.0,0,부족 (카메라少)
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36094,15,0,6,18,기타,0,0,0,0.0,0,부족 (카메라少)
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36095,10,0,3,7,기타 / 안전거리미확보,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36096,14,1,4,11,기타 / U턴중 / 안전거리미확보,0,0,0,33.33333333333333,1,사망위험 (사망사고 집중)
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36097,10,0,2,7,안전거리미확보 / 기타,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11200,서울특별시 성동구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36098,16,0,4,11,안전거리미확보 / 기타 / U턴중,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11215,서울특별시 광진구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36100,9,0,2,12,기타 / 신호위반 / 안전거리미확보,0,0,0,66.66666666666666,0,부족 (카메라少)
2017,서울,11215,서울특별시 광진구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36101,18,1,7,15,기타 / 신호위반 / 안전거리미확보,0,0,0,66.66666666666666,1,사망위험 (사망사고 집중)
2017,서울,11215,서울특별시 광진구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36102,9,0,2,6,U턴중 / 신호위반 / 기타,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11215,서울특별시 광진구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36103,13,0,2,15,안전거리미확보 / 기타 / U턴중,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11215,서울특별시 광진구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36104,8,1,3,5,기타 / U턴중,0,0,0,0.0,1,사망위험 (사망사고 집중)
2017,서울,11215,서울특별시 광진구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36105,14,0,3,16,안전거리미확보 / 기타,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11215,서울특별시 광진구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36106,15,0,8,15,안전거리미확보 / 기타 / 신호위반,0,0,0,66.66666666666666,0,부족 (카메라少)
2017,서울,11215,서울특별시 광진구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36107,11,0,6,9,안전거리미확보 / 기타 / 신호위반,0,0,0,66.66666666666666,0,부족 (카메라少)
2017,서울,11215,서울특별시 광진구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36108,10,0,2,10,기타,0,0,0,0.0,0,부족 (카메라少)
2017,서울,11215,서울특별시 광진구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36109,8,0,4,6,신호위반 / 기타 / 안전거리미확보,0,0,0,66.66666666666666,0,부족 (카메라少)
