우선순위,시도명,사고위험지역명,군집라벨,위험점수,총사고건수,총사망자수,총중상자수,사고분석유형명
1순위 (사망/사고다발),경북,경상북도 안동시내에서 2017년도에 반경100m 이내 다른사고6건 이상 지역,사고다발,157,57,1,18,U턴중 / 기타 / 안전거리미확보
1순위 (사망/사고다발),서울,서울특별시 영등포구내에서 2024년도에 반경50m 이내 다른사고14건 이상 지역,사고다발,157,52,0,21,기타 / 안전거리미확보
1순위 (사망/사고다발),경기,경기도 오산시내에서 2017년도에 반경100m 이내 다른사고6건 이상 지역,사고다발,156,46,1,20,기타 / 안전거리미확보 / U턴중 / 신호위반
1순위 (사망/사고다발),경기,경기도 의정부시내에서 2021년도에 반경80m 이내 다른사고10건 이상 지역,사고다발,156,91,0,13,U턴중 / 기타 / 과속 / 신호위반 / 안전거리미확보
1순위 (사망/사고다발),경기,경기도 광명시내에서 2024년도에 반경80m 이내 다른사고10건 이상 지역,사고다발,156,71,0,17,신호위반 / 안전거리미확보 / 기타
1순위 (사망/사고다발),서울,서울특별시 강동구내에서 2021년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,154,54,0,20,U턴중 / 신호위반 / 안전거리미확보 / 기타
1순위 (사망/사고다발),강원,강원도 원주시내에서 2019년도에 반경80m 이내 다른사고10건 이상 지역,사고다발,152,62,1,16,안전거리미확보 / 기타 / 신호위반 / U턴중
1순위 (사망/사고다발),서울,서울특별시 강북구내에서 2021년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,152,57,0,19,기타 / 안전거리미확보 / 신호위반
1순위 (사망/사고다발),대전,대전광역시 동구내에서 2018년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,151,21,0,26,안전거리미확보 / 신호위반 / 기타
1순위 (사망/사고다발),경기,경기도 의정부시내에서 2018년도에 반경80m 이내 다른사고10건 이상 지역,사고다발,151,66,0,17,안전거리미확보 / U턴중 / 중앙선침범 / 신호위반 / 기타
1순위 (사망/사고다발),경기,경기도 용인시수지구내에서 2018년도에 반경50m 이내 다른사고6건 이상 지역,사고다발,150,65,0,17,안전거리미확보 / 신호위반 / U턴중 / 기타
1순위 (사망/사고다발),경기,경기도 성남시수정구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,149,44,0,21,U턴중 / 기타 / 신호위반
1순위 (사망/사고다발),부산,부산광역시 부산진구내에서 2023년도에 반경50m 이내 다른사고12건 이상 지역,사망위험,149,34,2,19,기타 / 안전거리미확보
1순위 (사망/사고다발),서울,서울특별시 종로구내에서 2024년도에 반경50m 이내 다른사고8건 이상 지역,사망위험,149,69,2,12,기타 / U턴중 / 안전거리미확보 / 신호위반
1순위 (사망/사고다발),부산,부산광역시 부산진구내에서 2021년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,148,33,0,23,기타 / 신호위반 / U턴중 / 안전거리미확보
1순위 (사망/사고다발),경기,경기도 부천시내에서 2021년도에 반경50m 이내 다른사고14건 이상 지역,사망위험,148,48,2,16,안전거리미확보 / 기타
1순위 (사망/사고다발),서울,서울특별시 관악구내에서 2024년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,148,68,0,16,안전거리미확보 / U턴중 / 기타
1순위 (사망/사고다발),서울,서울특별시 동대문구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,147,47,0,20,기타 / 안전거리미확보 / 중앙선침범
1순위 (사망/사고다발),경기,경기도 파주시내에서 2017년도에 반경80m 이내 다른사고10건 이상 지역,사고다발,147,62,0,17,기타 / 신호위반 / 중앙선침범
1순위 (사망/사고다발),대구,대구광역시 북구내에서 2019년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,147,67,0,16,안전거리미확보 / U턴중 / 기타 / 신호위반
1순위 (사망/사고다발),부산,부산광역시 남구내에서 2023년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,147,37,0,22,U턴중 / 안전거리미확보 / 신호위반 / 기타
1순위 (사망/사고다발),서울,서울특별시 강북구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,146,56,1,16,안전거리미확보 / 기타 / U턴중 / 신호위반
1순위 (사망/사고다발),경북,경상북도 상주시내에서 2017년도에 반경100m 이내 다른사고4건 이상 지역,사고다발,146,41,1,19,기타 / 안전거리미확보
1순위 (사망/사고다발),부산,부산광역시 부산진구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,145,30,0,23,신호위반 / 기타 / 안전거리미확보
1순위 (사망/사고다발),전남,전라남도 순천시내에서 2019년도에 반경80m 이내 다른사고10건 이상 지역,사고다발,145,100,0,9,안전거리미확보 / U턴중 / 기타
1순위 (사망/사고다발),충북,충청북도 청주시 서원구내에서 2022년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,145,60,0,17,기타 / 안전거리미확보 / 신호위반 / U턴중
1순위 (사망/사고다발),서울,서울특별시 은평구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,143,63,0,16,안전거리미확보 / 기타
1순위 (사망/사고다발),서울,서울특별시 서대문구내에서 2018년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,143,43,1,18,기타 / 신호위반 / 안전거리미확보
1순위 (사망/사고다발),서울,서울특별시 영등포구내에서 2018년도에 반경50m 이내 다른사고14건 이상 지역,사고다발,143,58,0,17,신호위반 / 기타 / 안전거리미확보
1순위 (사망/사고다발),전남,전라남도 여수시내에서 2018년도에 반경80m 이내 다른사고10건 이상 지역,사고다발,143,73,0,14,기타 / 안전거리미확보 / U턴중
1순위 (사망/사고다발),부산,부산광역시 부산진구내에서 2020년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,143,48,0,19,기타 / 안전거리미확보
1순위 (사망/사고다발),대전,대전광역시 서구내에서 2020년도에 반경50m 이내 다른사고14건 이상 지역,사고다발,143,68,0,15,기타 / 신호위반 / 안전거리미확보 / U턴중
1순위 (사망/사고다발),충북,충청북도 제천시내에서 2020년도에 반경100m 이내 다른사고6건 이상 지역,사고다발,143,33,1,20,기타 / 안전거리미확보 / U턴중
1순위 (사망/사고다발),경기,경기도 군포시내에서 2022년도에 반경100m 이내 다른사고6건 이상 지역,사고다발,143,68,0,15,U턴중 / 기타 / 신호위반 / 안전거리미확보
1순위 (사망/사고다발),서울,서울특별시 영등포구내에서 2024년도에 반경50m 이내 다른사고14건 이상 지역,사고다발,143,53,0,18,안전거리미확보 / U턴중 / 기타
1순위 (사망/사고다발),경기,경기도 광명시내에서 2024년도에 반경80m 이내 다른사고10건 이상 지역,사고다발,143,53,0,18,U턴중 / 안전거리미확보 / 기타
1순위 (사망/사고다발),대구,대구광역시 수성구내에서 2019년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,142,57,0,17,기타 / U턴중 / 안전거리미확보
1순위 (사망/사고다발),서울,서울특별시 송파구내에서 2021년도에 반경50m 이내 다른사고14건 이상 지역,사고다발,142,62,0,16,신호위반 / 기타 / 안전거리미확보 / U턴중
1순위 (사망/사고다발),서울,서울특별시 종로구내에서 2023년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,142,52,1,16,기타 / U턴중 / 안전거리미확보 / 신호위반
1순위 (사망/사고다발),서울,서울특별시 관악구내에서 2023년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,142,52,0,18,과속 / 안전거리미확보 / U턴중 / 기타
1순위 (사망/사고다발),경기,경기도 안산시단원구내에서 2019년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,141,61,0,16,기타 / U턴중 / 안전거리미확보
1순위 (사망/사고다발),경북,경상북도 경산시내에서 2017년도에 반경100m 이내 다른사고6건 이상 지역,사고다발,140,30,0,22,기타 / 안전거리미확보
1순위 (사망/사고다발),경기,경기도 부천시내에서 2018년도에 반경50m 이내 다른사고10건 이상 지역,사고다발,140,65,0,15,신호위반 / 기타 / 안전거리미확보 / U턴중
1순위 (사망/사고다발),부산,부산광역시 부산진구내에서 2020년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,140,30,0,22,기타 / 안전거리미확보
1순위 (사망/사고다발),서울,서울특별시 성동구내에서 2024년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,140,60,0,16,안전거리미확보 / 기타 / U턴중
1순위 (사망/사고다발),부산,부산광역시 수영구내에서 2018년도에 반경50m 이내 다른사고6건 이상 지역,사고다발,139,54,0,17,U턴중 / 기타 / 안전거리미확보 / 중앙선침범
1순위 (사망/사고다발),대구,대구광역시 서구내에서 2018년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,139,59,1,14,기타 / 안전거리미확보 / U턴중
1순위 (사망/사고다발),대전,대전광역시 서구내에서 2018년도에 반경50m 이내 다른사고14건 이상 지역,사고다발,139,59,0,16,U턴중 / 안전거리미확보 / 기타
1순위 (사망/사고다발),부산,부산광역시 남구내에서 2020년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,139,29,0,22,기타 / 안전거리미확보
1순위 (사망/사고다발),부산,부산광역시 연제구내에서 2024년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,139,69,0,14,기타 / 안전거리미확보 / U턴중 / 신호위반
1순위 (사망/사고다발),경남,경상남도 김해시내에서 2018년도에 반경80m 이내 다른사고10건 이상 지역,사고다발,138,33,1,19,기타 / 신호위반
